Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,527.561584,529.815369,498.281952,499.727997,499.727997,8472397
2015-01-08,496.626526,503.537537,486.225067,499.498627,499.498627,12357935
2015-01-15,504.185760,517.858215,496.397156,516.621643,516.621643,9514852
2015-01-22,520.052185,540.685547,508.603638,508.603638,508.603638,10090226
2015-01-29,509.600891,538.391846,499.827728,521.328674,521.328674,16344852
2015-02-05,522.355896,536.975708,520.660522,534.502502,534.502502,8008728
2015-02-12,535.778992,548.494080,533.209045,538.222290,538.222290,6590445
2015-02-19,536.566833,544.724487,526.803650,542.380920,542.380920,6722407
2015-02-26,541.722717,575.529907,540.017395,571.800110,571.800110,10432966
2015-03-05,573.445618,576.327698,549.172241,549.670898,549.670898,7723948
2015-03-12,551.994507,558.247314,542.729919,557.968079,557.968079,8674250
2015-03-19,557.858398,573.016785,554.308167,557.255066,557.255066,10193510
2015-03-26,556.063354,557.369751,538.022888,541.074463,541.074463,8308749
2015-04-02,539.369141,542.360962,528.120056,540.127075,540.127075,5522219
2015-04-09,539.548645,542.570374,521.787415,531.071960,531.071960,9535608
2015-04-16,528.449158,539.598511,519.583496,537.888245,537.888245,8569363
2015-04-23,539.518738,569.576233,538.750854,549.080017,549.080017,14705163
2015-04-30,547.869995,548.590027,521.085022,524.219971,524.219971,8108500
2015-05-07,523.989990,541.979980,521.750000,529.619995,529.619995,6865700
2015-05-14,533.770020,542.919983,528.849976,539.270020,539.270020,8776300
2015-05-21,537.950012,544.190002,529.880005,539.789978,539.789978,6570400
2015-05-28,538.010010,543.500000,529.760010,540.309998,540.309998,9187500
2015-06-04,537.760010,540.590027,523.010010,536.690002,536.690002,7527400
2015-06-11,538.424988,538.979980,524.000000,529.260010,529.260010,6172000
2015-06-18,531.000000,543.739990,530.789978,537.840027,537.840027,7461000
2015-06-25,538.869995,540.900024,518.229980,521.840027,521.840027,9560800
2015-07-02,521.080017,526.179993,515.179993,516.830017,516.830017,5410300
2015-07-09,523.119995,566.502991,520.349976,560.219971,560.219971,11034200
2015-07-16,565.119995,678.640015,565.000000,662.099976,662.099976,29100600
2015-07-23,661.270020,663.630005,620.500000,631.929993,631.929993,12632600
2015-07-30,630.000000,647.859985,622.049988,643.780029,643.780029,8310000
2015-08-06,645.000000,674.900024,629.710022,659.559998,659.559998,12751600
2015-08-13,659.322021,667.000000,651.239990,660.900024,660.900024,7524700
2015-08-20,655.460022,662.989990,565.049988,628.619995,628.619995,20664700
