Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,52.000000,60.000000,48.869999,60.000000,60.000000,8163500
2015-01-08,59.150002,63.200001,55.099998,57.950001,57.950001,13982600
2015-01-15,58.430000,60.439999,53.380001,59.110001,59.110001,6667900
2015-01-22,59.470001,59.689999,54.900002,57.000000,57.000000,6078600
2015-01-29,56.939999,57.919998,54.320000,56.520000,56.520000,5745800
2015-02-05,56.529999,59.990002,54.750000,54.840000,54.840000,8381200
2015-02-12,55.250000,55.750000,48.500000,51.680000,51.680000,9933300
2015-02-19,52.049999,58.410000,50.810001,56.639999,56.639999,7619700
2015-02-26,57.500000,68.500000,57.000000,67.489998,67.489998,19068100
2015-03-05,67.760002,68.000000,63.220001,67.620003,67.620003,12006200
2015-03-12,67.559998,69.919998,66.669998,68.480003,68.480003,7215400
2015-03-19,68.230003,73.500000,67.849998,69.559998,69.559998,8416400
2015-03-26,67.900002,77.389999,64.550003,73.970001,73.970001,10494600
2015-04-02,74.150002,75.839996,72.750000,74.379997,74.379997,3914600
2015-04-09,74.900002,76.989998,73.660004,74.669998,74.669998,3803900
2015-04-16,74.550003,75.620003,71.800003,74.570000,74.570000,3722600
2015-04-23,74.160004,76.199997,68.300003,75.370003,75.370003,5806400
2015-04-30,75.180000,77.800003,71.599998,73.470001,73.470001,4894200
2015-05-07,73.000000,74.699997,70.389999,73.110001,73.110001,4588000
2015-05-14,73.500000,86.750000,73.339996,86.250000,86.250000,9090100
2015-05-21,86.260002,90.769997,82.699997,89.879997,89.879997,7735000
2015-05-28,90.070000,99.080002,87.769997,95.660004,95.660004,19256000
2015-06-04,96.389999,115.160004,95.660004,112.940002,112.940002,26924600
2015-06-11,111.989998,123.480003,108.599998,122.230003,122.230003,22714800
2015-06-18,123.610001,128.059998,93.059998,101.599998,101.599998,56965000
2015-06-25,103.699997,108.000000,96.000000,101.879997,101.879997,17423100
2015-07-02,103.050003,103.540001,96.059998,97.449997,97.449997,10266400
2015-07-09,99.459999,111.500000,96.660004,106.209999,106.209999,15241100
2015-07-16,108.110001,123.989998,106.220001,122.500000,122.500000,15584400
2015-07-23,124.720001,129.190002,114.169998,117.720001,117.720001,21237700
2015-07-30,117.010002,119.639999,110.169998,115.050003,115.050003,12276300
2015-08-06,114.459999,119.989998,104.260002,110.050003,110.050003,12921200
2015-08-13,111.500000,111.699997,100.629997,104.639999,104.639999,7990400
2015-08-20,102.019997,104.000000,71.000000,89.459999,89.459999,22681800
2015-08-27,93.410004,99.349998,75.010002,81.980003,81.980003,26792200
2015-09-03,80.110001,80.419998,67.860001,68.470001,68.470001,15735200
2015-09-10,69.010002,72.940002,63.549999,70.820000,70.820000,21356900
2015-09-17,70.230003,75.529999,62.250000,62.590000,62.590000,18486800
2015-09-24,61.619999,65.400002,53.759998,57.790001,57.790001,16208400
2015-10-01,57.700001,62.720001,56.060001,61.810001,61.810001,8902100
2015-10-08,61.110001,61.220001,54.799999,55.590000,55.590000,10206500
2015-10-15,55.660000,58.770000,52.490002,53.619999,53.619999,7496300
2015-10-22,54.060001,57.090000,50.889999,56.500000,56.500000,9881900
2015-10-29,52.869999,60.889999,48.759998,57.020000,57.020000,18153500
2015-11-05,57.380001,58.200001,53.279999,55.349998,55.349998,8788200
2015-11-12,55.000000,55.169998,49.450001,53.419998,53.419998,7202800
2015-11-19,53.700001,60.599998,52.660000,58.270000,58.270000,11130000
2015-11-26,58.799999,64.949997,57.130001,60.459999,60.459999,13540700
2015-12-03,61.490002,61.750000,53.500000,55.990002,55.990002,21272200
2015-12-10,56.610001,60.080002,55.000000,56.849998,56.849998,7548100
2015-12-17,57.270000,60.480000,55.880001,59.630001,59.630001,8454000
2015-12-24,59.540001,60.090000,56.500000,56.630001,56.630001,3759400
2015-12-31,56.470001,57.619999,52.049999,55.410000,55.410000,6646800
2016-01-07,53.110001,54.430000,40.220001,44.590000,44.590000,15662100
2016-01-14,40.380001,42.520000,34.599998,39.330002,39.330002,13592300
2016-01-21,39.730000,39.750000,36.150002,36.430000,36.430000,6532300
2016-01-28,36.950001,39.830002,35.630001,37.430000,37.430000,6254700
2016-02-04,37.700001,41.270000,33.389999,36.450001,36.450001,7347300
2016-02-11,35.459999,44.750000,34.700001,42.840000,42.840000,5387400
2016-02-18,42.250000,45.630001,40.110001,45.060001,45.060001,7142800
2016-02-25,45.410000,47.439999,43.130001,45.259998,45.259998,8439100
2016-03-03,45.610001,47.259998,37.759998,39.389999,39.389999,15750000
2016-03-10,39.750000,40.919998,36.660000,37.610001,37.610001,6999500
2016-03-17,37.950001,41.900002,37.290001,39.939999,39.939999,6463400
2016-03-24,39.439999,46.220001,39.250000,44.279999,44.279999,7000300
2016-03-31,44.009998,45.500000,43.209999,44.580002,44.580002,4784100
2016-04-07,45.680000,46.439999,41.500000,44.889999,44.889999,6119000
2016-04-14,45.450001,45.450001,43.349998,43.849998,43.849998,3642300
2016-04-21,44.070000,45.320000,41.110001,42.430000,42.430000,4315700
2016-04-28,42.230000,43.209999,37.189999,37.520000,37.520000,5091100
