Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,44.574001,44.650002,40.841999,42.189999,42.189999,96816000
2015-01-08,42.562000,42.759998,37.000000,38.537998,38.537998,150451500
2015-01-15,38.897999,39.736000,37.408001,39.313999,39.313999,87379500
2015-01-22,39.400002,41.723999,39.040001,39.874001,39.874001,83603000
2015-01-29,40.214001,44.296001,39.299999,43.709999,43.709999,94179500
2015-02-05,43.976002,45.096001,41.456001,42.560001,42.560001,126994000
2015-02-12,38.714001,41.234001,38.655998,40.891998,40.891998,142669000
2015-02-19,41.000000,43.639999,40.340000,40.751999,40.751999,150745500
2015-02-26,40.799999,42.217999,39.063999,40.487999,40.487999,134657000
2015-03-05,40.570000,41.237999,37.520000,38.748001,38.748001,144403500
2015-03-12,38.750000,40.175999,37.464001,40.141998,40.141998,124637000
2015-03-19,40.400002,40.917999,38.540001,38.860001,38.860001,123783000
2015-03-26,38.784000,38.958000,36.279999,37.518002,37.518002,158218000
2015-04-02,38.046001,42.180000,38.000000,41.534000,41.534000,140586000
2015-04-09,41.686001,42.599998,41.099998,41.566002,41.566002,83022500
2015-04-16,41.540001,44.375999,40.700001,43.888000,43.888000,89919000
2015-04-23,43.653999,47.750000,43.430000,46.490002,46.490002,142665500
2015-04-30,46.077999,47.900002,44.082001,46.085999,46.085999,123480000
2015-05-07,44.200001,49.660000,44.049999,48.636002,48.636002,158000000
2015-05-14,48.964001,50.200001,48.250000,48.869999,48.869999,91032500
2015-05-21,48.605999,50.400002,48.472000,49.486000,49.486000,55503000
2015-05-28,49.405998,50.574001,49.009998,49.798000,49.798000,69290000
2015-06-04,49.500000,51.750000,49.136002,50.139999,50.139999,82791000
2015-06-11,50.652000,52.872002,49.202000,52.082001,52.082001,65751000
2015-06-18,52.400002,53.599998,51.138000,53.034000,53.034000,80449500
2015-06-25,53.290001,54.523998,52.139999,53.830002,53.830002,76773000
2015-07-02,56.040001,56.490002,50.862000,50.992001,50.992001,118060000
2015-07-09,51.816002,53.498001,51.209999,52.627998,52.627998,64172500
2015-07-16,52.844002,57.330002,52.172001,53.574001,53.574001,104061500
2015-07-23,53.930000,54.217999,50.158001,52.764000,52.764000,82219000
2015-07-30,52.537998,54.200001,51.414001,54.026001,54.026001,76887500
2015-08-06,49.908001,51.000000,46.548000,47.633999,47.633999,159380000
2015-08-13,47.972000,52.189999,47.824001,51.049999,51.049999,120150000
2015-08-20,50.411999,50.911999,39.000000,44.967999,44.967999,151839500
2015-08-27,46.200001,50.990002,46.161999,49.537998,49.537998,139769500
2015-09-03,50.411999,50.849998,47.639999,49.782001,49.782001,72065000
2015-09-10,49.445999,52.576000,48.945999,52.450001,52.450001,76506500
2015-09-17,52.792000,54.313999,51.160000,52.212002,52.212002,98671500
2015-09-24,51.905998,53.382000,48.467999,49.680000,49.680000,103777500
2015-10-01,49.501999,49.967999,45.824001,46.391998,46.391998,123630500
2015-10-08,46.015999,46.144001,42.226002,43.375999,43.375999,122019000
2015-10-15,43.285999,46.230000,40.400002,42.018002,42.018002,143690500
2015-10-22,42.312000,43.419998,41.501999,42.591999,42.591999,83500500
2015-10-29,42.349998,46.548000,40.778000,46.326000,46.326000,156153500
2015-11-05,46.116001,46.916000,42.726002,43.816002,43.816002,93789000
2015-11-12,43.570000,44.276001,41.160000,44.214001,44.214001,71161000
2015-11-19,44.108002,46.166000,42.716000,45.928001,45.928001,79512000
2015-11-26,46.212002,47.720001,45.402000,46.397999,46.397999,56623500
2015-12-03,47.096001,47.490002,44.144001,44.903999,44.903999,72014000
2015-12-10,44.942001,46.976002,42.973999,46.902000,46.902000,77581000
2015-12-17,46.787998,47.551998,45.625999,45.939999,45.939999,58912500
2015-12-24,46.112000,48.726002,45.108002,47.618000,47.618000,43567500
2015-12-31,47.702000,48.689999,43.195999,43.807999,43.807999,82540000
2016-01-07,42.838001,44.088001,40.000000,40.062000,40.062000,92460500
2016-01-14,40.442001,42.094002,38.250000,39.740002,39.740002,109733000
2016-01-21,40.310001,41.099998,37.153999,37.613998,37.613998,87852000
2016-01-28,38.158001,39.903999,34.035999,34.695999,34.695999,132238500
2016-02-04,34.139999,35.195999,28.209999,28.733999,28.733999,210970500
2016-02-11,30.400000,33.868000,28.740000,33.736000,33.736000,164536000
2016-02-18,34.484001,36.346001,32.500000,35.799999,35.799999,116435500
2016-02-25,35.730000,39.270000,35.040001,37.667999,37.667999,139447000
2016-03-03,37.655998,41.939999,36.844002,41.743999,41.743999,120174000
2016-03-10,42.000000,44.515999,40.133999,44.386002,44.386002,96492500
2016-03-17,44.293999,47.976002,44.000000,44.515999,44.515999,115336500
2016-03-24,43.155998,47.099998,43.000000,45.377998,45.377998,84669500
2016-03-31,45.868000,53.548000,45.001999,53.084000,53.084000,295699500
2016-04-07,53.290001,53.868000,48.726002,50.905998,50.905998,180353000
2016-04-14,50.599998,51.661999,48.250000,49.993999,49.993999,118538000
2016-04-21,49.798000,51.476002,49.141998,50.293999,50.293999,83346500
2016-04-28,49.970001,50.686001,44.080002,44.512001,44.512001,123897000
2016-05-05,45.692001,45.728001,41.000000,41.792000,41.792000,154744500
2016-05-12,42.287998,43.062000,40.731998,42.234001,42.234001,89419000
2016-05-19,42.723999,44.520000,41.459999,43.916000,43.916000,135582500
2016-05-26,44.099998,45.186001,43.377998,43.911999,43.911999,67472000
2016-06-02,43.917999,48.169998,43.090000,47.104000,47.104000,93484500
2016-06-09,46.995998,47.066002,42.506001,43.540001,43.540001,106002000
2016-06-16,43.484001,44.750000,39.150002,39.332001,39.332001,186899000
2016-06-23,39.138000,42.355999,37.574001,42.037998,42.037998,182849500
2016-06-30,42.594002,43.647999,41.200001,42.888000,42.888000,101691500
2016-07-07,42.619999,45.500000,42.602001,44.506001,44.506001,106275000
2016-07-14,44.624001,45.959999,43.660000,45.672001,45.672001,70028500
2016-07-21,45.200001,46.672001,43.776001,45.698002,45.698002,89090500
2016-07-28,45.590000,47.326000,44.279999,45.158001,45.158001,86642000
2016-08-04,45.138000,46.400002,44.410000,45.130001,45.130001,70809500
2016-08-11,45.234001,45.900002,44.560001,44.647999,44.647999,48914500
2016-08-18,44.764000,45.698002,44.444000,44.523998,44.523998,63973000
2016-08-25,44.622002,44.759998,41.730000,42.402000,42.402000,68566000
2016-09-01,41.801998,42.220001,39.240002,40.341999,40.341999,109760000
2016-09-08,39.910000,40.273998,38.689999,39.282001,39.282001,83470000
2016-09-15,39.298000,41.886002,39.279999,41.043999,41.043999,67642500
2016-09-22,41.279999,42.200001,40.599998,41.254002,41.254002,65720500
2016-09-29,41.119999,43.133999,39.910000,41.692001,41.692001,83661000
2016-10-06,40.492001,40.841999,39.160000,40.301998,40.301998,79059000
2016-10-13,40.099998,41.332001,38.400002,40.712002,40.712002,119951500
2016-10-20,40.424000,40.938000,39.410000,40.448002,40.448002,94228500
2016-10-27,42.268002,42.740002,37.501999,37.604000,37.604000,166897500
2016-11-03,37.799999,39.498001,36.790001,38.012001,38.012001,115549000
2016-11-10,38.209999,38.321999,35.638000,36.785999,36.785999,123137000
2016-11-17,36.698002,39.127998,36.422001,38.627998,38.627998,124768500
2016-11-24,38.728001,39.869999,37.500000,37.880001,37.880001,74408500
2016-12-01,37.650002,38.680000,36.000000,38.630001,38.630001,110472000
2016-12-08,38.410000,40.599998,37.908001,39.737999,39.737999,96651500
2016-12-15,39.681999,42.445999,39.478001,41.540001,41.540001,102006500
2016-12-22,41.644001,44.759998,41.299999,43.948002,43.948002,87399000
2016-12-29,43.712002,45.599998,42.192001,45.397999,45.397999,129122000
2017-01-05,45.284000,46.400002,44.389999,45.945999,45.945999,113649500
2017-01-12,45.812000,47.992001,45.116001,47.672001,47.672001,91348500
2017-01-19,49.450001,51.692001,48.150002,50.894001,50.894001,141538000
2017-01-26,50.858002,51.178001,49.419998,49.848000,49.848000,90972000
2017-02-02,49.667999,52.672001,49.542000,52.416000,52.416000,82134000
2017-02-09,53.250000,57.478001,53.222000,55.952000,55.952000,153813000
2017-02-16,55.520000,56.689999,52.830002,54.702000,54.702000,138830500
2017-02-23,52.799999,52.931999,48.402000,50.004002,50.004002,227176000
2017-03-02,49.942001,50.778000,49.063999,49.374001,49.374001,84057000
2017-03-09,49.526001,52.200001,48.556000,51.146000,51.146000,114487000
2017-03-16,52.480000,53.150002,50.048000,51.001999,51.001999,141059500
2017-03-23,51.077999,56.136002,50.660000,55.476002,55.476002,134310500
